theta_deg,mode,energy_keV,ff_cm2_g,pp_cm2_g,absorption_cm2_g,scattering_cm2_g,total_cm2_g
5.0,1,0.03712540440825986,6.534744204092583e-6,3.292408399813459e-7,6.863985044073929e-6,4.094510706296395e-10,6.864394495144559e-6
5.0,1,0.037574874122594144,6.680386454792601e-6,3.2868454724466635e-7,7.009071002037267e-6,4.19458130012287e-10,7.009490460167279e-6
5.0,1,0.03802978547527079,6.829615745704053e-6,3.2812971153986796e-7,7.157745457243921e-6,4.297114253182988e-10,7.158175168669239e-6
5.0,1,0.03849020434709758,6.982535600549874e-6,3.275763667618115e-7,7.310111967311686e-6,4.4021714018544757e-10,7.310552184451871e-6
5.0,1,0.0389561974164878,7.13925312224546e-6,3.270245476399271e-7,7.466277669885388e-6,4.509816228583434e-10,7.466728651508246e-6
5.0,1,0.03942783216911674,7.2998791345653006e-6,3.2647428975912695e-7,7.626353424324427e-6,4.6201139125336875e-10,7.626815435715681e-6
5.0,1,0.039905176907694996,7.464528322282285e-6,3.2592562958138243e-7,7.790453951863667e-6,4.733131382165188e-10,7.790927265001883e-6
5.0,1,0.040388300761860216,7.63331939586958e-6,3.253786044676086e-7,7.958698000337189e-6,4.848937370192611e-10,7.959182894074209e-6
5.0,1,0.040877273698188464,7.806375246268626e-6,3.248332527003883e-7,8.131208498969014e-6,4.967602470588591e-10,8.131705259216074e-6
5.0,1,0.041372166530326916,7.983823116699411e-6,3.2428961350716847e-7,8.308112730206579e-6,5.089199198107429e-10,8.308621650126389e-6
5.0,1,0.041873050929249166,8.165794778425729e-6,3.2374772708413894e-7,8.489542505509868e-6,5.213802050286877e-10,8.490063885714896e-6
5.0,1,0.04237999943363468,8.352426712896062e-6,3.232076346207768e-7,8.675634347516839e-6,5.341487572095077e-10,8.676168496274048e-6
5.0,1,0.04289308546037396,8.543860306659456e-6,3.2266937832500774e-7,8.866529684984463e-6,5.472334423467529e-10,8.86707691842681e-6
5.0,1,0.04341238331520086,8.740242044200218e-6,3.2213300144919615e-7,9.062375045649414e-6,5.606423449664405e-10,9.06293568799438e-6
5.0,1,0.04393796820345362,8.941723727108278e-6,3.215985483166272e-7,9.263322275424906e-6,5.743837755058529e-10,9.263896659200412e-6
5.0,1,0.04446991624096621,9.14846268212798e-6,3.2106606434899146e-7,9.469528746476971e-6,5.884662779947346e-10,9.470117212754967e-6
5.0,1,0.04500830446509152,9.360621995337075e-6,3.205355960944253e-7,9.681157591431501e-6,6.028986381172035e-10,9.681760490069619e-6
5.0,1,0.04555321084585796,9.578370746912776e-6,3.200071912564573e-7,9.898377938169234e-6,6.176898916342002e-10,9.898995628060869e-6
5.0,1,0.04610471429726122,9.80188425819211e-6,3.194808987237536e-7,1.0121365156915864e-5,6.328493332071427e-10,1.012199800624907e-5
5.0,1,0.04666289468869268,1.003134435621625e-5,3.189567686006286e-7,1.0350301124816879e-5,6.483865256566931e-10,1.0350949511342535e-5
5.0,1,0.04722783285650618,1.0278723667045986e-5,3.1843485223692766e-7,1.0597158519282914e-5,6.643113096512408e-10,1.0597822830592565e-5
5.0,1,0.047799610615724845,1.052054642275425e-5,3.179152022670173e-7,1.0838461625021268e-5,6.806338138699115e-10,1.0839142258835138e-5
5.0,1,0.04837831077188961,1.0757321326998216e-5,3.1739787263436847e-7,1.1074719199632585e-5,6.973644657308981e-10,1.1075416564098316e-5
5.0,1,0.048964017133051256,1.1012629785358028e-5,3.168829186267129e-7,1.132951270398474e-5,7.145140025596908e-10,1.1330227217987301e-5
5.0,1,0.049556814521907584,1.1274780105882001e-5,3.163703969186349e-7,1.1591150502800636e-5,7.320934834220218e-10,1.1591882596284058e-5
5.0,1,0.05015678878808752,1.1544036524978801e-5,3.15860365601675e-7,1.1859896890580477e-5,7.501143015233262e-10,1.1860647004882e-5
5.0,1,0.050764026820583945,1.1820827882006828e-5,3.1535288422328626e-7,1.2136180766230115e-5,7.685881972632281e-10,1.2136949354427379e-5
5.0,1,0.051378616560337174,1.2105289326573764e-5,3.1484801382518885e-7,1.2420137340398953e-5,7.875272720097613e-10,1.2420924867670963e-5
5.0,1,0.05200064701297051,1.239767491845013e-5,3.143458169830412e-7,1.2712020735433171e-5,8.069440025760613e-10,1.2712827679435747e-5
5.0,1,0.052630208261680245,1.269824853610714e-5,3.138463578472147e-7,1.3012094893954355e-5,8.268512565029794e-10,1.3012921745210859e-5
5.0,1,0.05326739148028159,1.300728430914544e-5,3.1334970218469084e-7,1.332063401133013e-5,8.472623082177321e-10,1.3321481273638348e-5
5.0,1,0.05391228894641257,1.3325067029077984e-5,3.128559174225519e-7,1.3637922946500537e-5,8.681908559918269e-10,1.3638791137356529e-5
5.0,1,0.05456499405489781,1.3651892648330794e-5,3.123650726922511e-7,1.3964257721023044e-5,8.896510400289169e-10,1.3965147372063072e-5
5.0,1,0.05522560133127405,1.3988068710891383e-5,3.1187723887593694e-7,1.429994594976732e-5,9.116574613522646e-10,1.4300857607228672e-5
5.0,1,0.05589420644547947,1.4333914902715374e-5,3.1139248865345284e-7,1.4645307391368827e-5,9.342252020412713e-10,1.4646241616570867e-5
5.0,1,0.05657090622570871,1.4689763526771084e-5,3.109108965515274e-7,1.5000674423322612e-5,9.573698463791582e-10,1.500163179316899e-5
5.0,1,0.05725579867243567,1.5055960089132442e-5,3.104325389938569e-7,1.53663926281263e-5,9.811075034884388e-10,1.5367373735629786e-5
5.0,1,0.05794898297260603,1.5432863849271816e-5,3.0995749435320244e-7,1.574282134362502e-5,1.0054548311398723e-9,1.5743826798456158e-5
5.0,1,0.05865055951400162,1.5820848426871274e-5,3.094858430049105e-7,1.6130334269876183e-5,1.0304290610791587e-9,1.613136469893726e-5
5.0,1,0.059360629899778736,1.6220302423318874e-5,3.0901766738222447e-7,1.65293200907011e-5,1.0560480258516243e-9,1.6530376138726952e-5
