 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
 -1.20   6.1932   1.891   -82.42  39.96  11.46  1.416  0.966 7.78E-02 7.77E-02 3.26E-08 1.08E-01  -9.096  -9.097
 -1.00   6.3861   1.860   -82.80  38.72  15.10  1.558  0.955 1.06E-01 1.06E-01 1.10E-07 1.09E-01  -9.017  -9.017
 -0.80   6.5760   1.817   -83.33  37.34  19.55  1.742  0.942 1.46E-01 1.46E-01 3.45E-07 1.07E-01  -8.922  -8.923
 -0.60   6.7632   1.765   -84.00  35.84  24.21  1.943  1.162 1.97E-01 1.97E-01 1.02E-06 1.02E-01  -8.818  -8.819
 -0.40   6.9488   1.707   -84.75  34.28  28.60  2.130  0.916 2.52E-01 2.52E-01 2.88E-06 9.61E-02  -8.704  -8.705
 -0.20   7.1285   1.629   -85.70  32.54  32.17  2.306  0.907 3.23E-01 3.23E-01 7.46E-06 8.25E-02  -8.586  -8.588
  0.00   7.3102   1.562   -86.62  30.87  34.48  2.433  0.900 3.89E-01 3.89E-01 1.81E-05 7.61E-02  -8.464  -8.467
  0.20   7.4899   1.491   -87.59  29.20  35.35  2.502  0.897 4.61E-01 4.61E-01 4.02E-05 6.78E-02  -8.338  -8.344
  0.40   7.6704   1.425   -88.54  27.57  35.62  2.493  0.898 5.28E-01 5.28E-01 8.48E-05 6.06E-02  -8.217  -8.224
  0.60   7.8504   1.361   -89.43  26.04  33.04  2.491  0.996 5.92E-01 5.92E-01 1.66E-04 5.32E-02  -8.089  -8.100
  0.80   8.0320   1.304   -90.24  24.60  30.88  2.409  0.910 6.48E-01 6.48E-01 3.09E-04 4.76E-02  -7.971  -7.983
  1.00   8.2151   1.255   -90.97  23.28  28.27  2.296  0.919 6.97E-01 6.97E-01 5.39E-04 4.42E-02  -7.840  -7.856
  1.20   8.4000   1.212   -91.63  22.05  25.46  2.163  0.930 7.37E-01 7.37E-01 8.68E-04 4.36E-02  -7.717  -7.733
  1.40   8.5875   1.177   -92.18  20.95  22.84  2.030  0.943 7.67E-01 7.67E-01 1.28E-03 4.69E-02  -7.582  -7.593
  1.60   8.7774   1.150   -92.66  19.93  20.55  1.904  0.957 7.87E-01 7.87E-01 1.66E-03 5.49E-02  -7.442  -7.449
  1.80   8.9703   1.132   -93.08  19.00  18.78  1.799  0.972 7.96E-01 7.96E-01 1.80E-03 6.96E-02  -7.278  -7.282
  2.00   9.1666   1.122   -93.45  18.11  17.61  1.723  0.991 7.93E-01 7.93E-01 1.48E-03 9.32E-02  -7.074  -7.077
  2.20   9.3672   1.124   -93.80  17.25  17.19  1.688  1.015 7.74E-01 7.74E-01 7.96E-04 1.29E-01  -6.823  -6.824
  2.40   9.5735   1.140   -94.14  16.41  15.88  1.690  1.049 7.37E-01 7.37E-01 2.20E-04 1.79E-01  -6.508  -6.509
  2.60   9.7875   1.178   -94.54  15.51  19.25  1.768  1.096 6.74E-01 6.74E-01 2.12E-05 2.51E-01  -6.117  -6.119
  2.80  10.0133   1.249   -94.99  14.54  21.78  1.876  1.166 5.75E-01 5.75E-01 3.90E-07 3.53E-01  -5.582  -5.584
  3.00  10.2555   1.377   -95.46  13.53  25.38  1.949  1.262 4.22E-01 4.22E-01 5.18E-10 5.00E-01  -4.827  -4.829
  3.20  10.5166   1.585   -95.79  12.60  30.15  1.714  1.336 1.98E-01 1.98E-01 1.06E-14 6.96E-01  -3.581  -3.583
  3.40  10.7747   1.812   -95.38  12.28  33.46  0.902  1.185 1.98E-02 1.98E-02 0.00E+00 7.89E-01  -1.561  -1.564
     5.900    14.900
 -7.40   0.4169   1.997   -64.54  67.96   1.00  1.001  1.000 6.93E-04 1.22E-04 0.00E+00 1.34E-02  -9.154  -9.154
 -7.20   0.6168   1.997   -64.53  67.05   1.00  1.001  0.999 7.67E-04 1.42E-04 0.00E+00 1.52E-02  -9.154  -9.154
 -7.00   0.8167   1.996   -64.53  66.13   1.01  1.001  0.999 8.45E-04 1.65E-04 0.00E+00 1.71E-02  -9.153  -9.153
 -6.80   1.0166   1.996   -64.53  65.21   1.01  1.001  0.999 9.27E-04 1.91E-04 0.00E+00 1.92E-02  -9.153  -9.153
 -6.60   1.2165   1.995   -64.53  64.30   1.01  1.001  0.999 1.01E-03 2.21E-04 0.00E+00 2.16E-02  -9.153  -9.153
 -6.40   1.4164   1.995   -64.53  63.38   1.01  1.002  0.999 1.10E-03 2.55E-04 0.00E+00 2.40E-02  -9.152  -9.152
 -6.20   1.6163   1.994   -64.53  62.47   1.01  1.002  0.999 1.20E-03 2.96E-04 0.00E+00 2.67E-02  -9.152  -9.152
 -6.00   1.8162   1.994   -64.53  61.55   1.01  1.002  0.999 1.30E-03 3.42E-04 0.00E+00 2.95E-02  -9.151  -9.151
 -5.80   2.0161   1.993   -64.53  60.64   1.01  1.002  0.999 1.40E-03 3.95E-04 0.00E+00 3.25E-02  -9.151  -9.151
 -5.60   2.2160   1.993   -64.52  59.72   1.01  1.002  1.000 1.51E-03 4.56E-04 0.00E+00 3.54E-02  -9.150  -9.150
 -5.40   2.4159   1.992   -64.52  58.81   1.01  1.002  1.000 1.63E-03 5.27E-04 0.00E+00 3.85E-02  -9.149  -9.149
 -5.20   2.6158   1.992   -64.52  57.90   1.01  1.002  1.000 1.75E-03 6.08E-04 0.00E+00 4.17E-02  -9.148  -9.148
 -5.00   2.8157   1.991   -64.52  56.98   1.02  1.002  1.000 1.89E-03 7.03E-04 0.00E+00 4.50E-02  -9.148  -9.148
 -4.80   3.0156   1.991   -64.52  56.07   1.02  1.002  1.000 2.04E-03 8.10E-04 0.00E+00 4.83E-02  -9.147  -9.147
 -4.60   3.2155   1.990   -64.52  55.16   1.02  1.003  0.999 2.20E-03 9.38E-04 0.00E+00 5.17E-02  -9.146  -9.146
 -4.40   3.4154   1.990   -64.52  54.24   1.02  1.003  1.000 2.38E-03 1.09E-03 0.00E+00 5.53E-02  -9.145  -9.145
 -4.20   3.6153   1.990   -64.51  53.33   1.02  1.003  0.999 2.56E-03 1.25E-03 0.00E+00 5.89E-02  -9.143  -9.143
 -4.00   3.8151   1.989   -64.51  52.42   1.03  1.003  0.999 2.77E-03 1.45E-03 3.41E-19 6.25E-02  -9.142  -9.142
 -3.80   4.0150   1.988   -64.51  51.51   1.03  1.003  0.999 2.98E-03 1.66E-03 1.34E-18 6.63E-02  -9.140  -9.140
 -3.60   4.2147   1.987   -64.51  50.59   1.03  1.004  0.999 3.22E-03 1.93E-03 5.23E-18 7.02E-02  -9.138  -9.138
 -3.40   4.4144   1.986   -64.51  49.68   1.04  1.005  0.999 3.45E-03 2.21E-03 2.05E-17 7.40E-02  -9.135  -9.135
 -3.20   4.6141   1.984   -64.51  48.77   1.05  1.006  0.999 3.74E-03 2.57E-03 8.00E-17 7.80E-02  -9.131  -9.131
 -3.00   4.8137   1.982   -64.51  47.86   1.06  1.007  0.999 4.04E-03 2.95E-03 3.12E-16 8.21E-02  -9.127  -9.127
 -2.80   5.0134   1.981   -64.51  46.95   1.07  1.008  0.999 4.44E-03 3.45E-03 1.21E-15 8.67E-02  -9.120  -9.120
 -2.60   5.2129   1.978   -64.52  46.03   1.09  1.010  0.998 4.87E-03 4.00E-03 4.72E-15 9.04E-02  -9.110  -9.110
 -2.40   5.4126   1.977   -64.52  45.12   1.12  1.012  0.998 5.50E-03 4.77E-03 1.82E-14 9.57E-02  -9.095  -9.095
 -2.20   5.6117   1.973   -64.53  44.20   1.17  1.015  0.998 6.36E-03 5.80E-03 7.07E-14 9.91E-02  -9.075  -9.075
 -2.00   5.8114   1.972   -64.54  43.29   1.22  1.019  0.998 7.25E-03 6.86E-03 2.72E-13 1.04E-01  -9.047  -9.047
 -1.80   6.0109   1.969   -64.55  42.37   1.32  1.026  0.997 8.77E-03 8.53E-03 1.05E-12 1.09E-01  -9.009  -9.009
 -1.60   6.2093   1.962   -64.57  41.43   1.44  1.034  0.995 1.06E-02 1.05E-02 4.06E-12 1.08E-01  -8.958  -8.958
 -1.40   6.4080   1.957   -64.60  40.50   1.66  1.047  0.993 1.35E-02 1.35E-02 1.53E-11 1.13E-01  -8.891  -8.892
 -1.20   6.6065   1.950   -64.64  39.57   1.92  1.063  0.990 1.70E-02 1.70E-02 5.74E-11 1.17E-01  -8.808  -8.809
 -1.00   6.8043   1.940   -64.70  38.62   2.36  1.088  0.987 2.26E-02 2.26E-02 2.12E-10 1.22E-01  -8.706  -8.707
 -0.80   7.0016   1.928   -64.77  37.65   2.93  1.120  0.984 2.94E-02 2.94E-02 7.71E-10 1.26E-01  -8.584  -8.586
 -0.60   7.1954   1.900   -64.90  36.62   3.85  1.170  0.978 4.07E-02 4.07E-02 2.79E-09 1.22E-01  -8.448  -8.451
 -0.40   7.3906   1.880   -65.05  35.60   4.94  1.227  0.972 5.39E-02 5.39E-02 9.54E-09 1.28E-01  -8.300  -8.304
 -0.20   7.5843   1.852   -65.26  34.53   6.43  1.306  0.964 7.30E-02 7.30E-02 3.14E-08 1.32E-01  -8.140  -8.145
  0.00   7.7767   1.820   -65.52  33.42   8.21  1.398  0.956 9.64E-02 9.64E-02 9.92E-08 1.36E-01  -7.969  -7.979
  0.20   7.9670   1.780   -65.88  32.24  10.47  1.490  0.946 1.28E-01 1.28E-01 2.94E-07 1.37E-01  -7.790  -7.807
  0.40   8.1554   1.733   -66.30  31.00  12.59  1.632  0.935 1.64E-01 1.64E-01 8.23E-07 1.37E-01  -7.619  -7.641
  0.60   8.3416   1.679   -66.82  29.70  14.83  1.755  0.926 2.06E-01 2.06E-01 2.12E-06 1.37E-01  -7.457  -7.474
  0.80   8.5262   1.621   -67.39  28.37  16.81  1.861  0.919 2.51E-01 2.51E-01 4.98E-06 1.36E-01  -7.302  -7.312
  1.00   8.7096   1.560   -68.02  27.00  18.30  1.955  0.913 2.95E-01 2.95E-01 1.04E-05 1.40E-01  -7.146  -7.151
  1.20   8.8923   1.499   -68.66  25.65  19.24  2.008  0.913 3.34E-01 3.34E-01 1.89E-05 1.48E-01  -6.983  -6.986
  1.40   9.0752   1.441   -69.29  24.34  20.62  2.077  0.940 3.63E-01 3.63E-01 2.87E-05 1.66E-01  -6.807  -6.809
  1.60   9.2598   1.391   -69.90  23.07  19.37  1.987  0.928 3.76E-01 3.76E-01 3.36E-05 1.96E-01  -6.612  -6.614
  1.80   9.4473   1.351   -70.46  21.89  18.73  1.910  0.947 3.68E-01 3.68E-01 2.73E-05 2.43E-01  -6.390  -6.392
  2.00   9.6392   1.326   -70.95  20.79  17.88  1.786  0.974 3.34E-01 3.34E-01 1.28E-05 3.08E-01  -6.131  -6.133
  2.20   9.8379   1.322   -71.35  19.80  16.98  1.612  1.012 2.73E-01 2.73E-01 2.55E-06 3.92E-01  -5.803  -5.805
  2.40  10.0449   1.344   -71.64  18.92  16.19  1.379  1.058 1.86E-01 1.86E-01 1.34E-07 4.88E-01  -5.358  -5.359
  2.60  10.2612   1.395   -71.79  18.18  15.03  1.071  1.101 9.09E-02 9.09E-02 8.67E-10 5.75E-01  -4.816  -4.818
  2.80  10.4826   1.466   -71.75  17.62  14.78  0.672  1.102 2.20E-02 2.20E-02 1.98E-13 6.06E-01  -4.090  -4.092
  3.00  10.6956   1.510   -71.42  17.29  13.21  0.283  1.002 1.17E-03 1.17E-03 2.18E-19 5.50E-01  -3.182  -3.184
  3.20  10.8736   1.436   -70.95  17.10  10.20  0.096  0.805 2.91E-06 2.91E-06 0.00E+00 4.32E-01  -2.282  -2.286
  3.40  10.9870   1.176   -70.53  16.86   6.48  0.340  0.336 3.57E-11 3.57E-11 0.00E+00 2.93E-01  -1.183  -1.189
     6.000    14.900
 -7.40   0.8169   1.997   -51.05  66.82   1.00  1.001  1.000 7.19E-04 1.36E-04 0.00E+00 1.45E-02  -8.945  -8.945
 -7.20   1.0168   1.996   -51.05  65.90   1.00  1.001  0.999 7.90E-04 1.58E-04 0.00E+00 1.63E-02  -8.944  -8.944
 -7.00   1.2167   1.996   -51.05  64.98   1.01  1.001  0.999 8.65E-04 1.83E-04 0.00E+00 1.84E-02  -8.943  -8.943
 -6.80   1.4166   1.995   -51.05  64.07   1.01  1.001  0.999 9.44E-04 2.11E-04 0.00E+00 2.05E-02  -8.942  -8.942
 -6.60   1.6165   1.995   -51.05  63.15   1.01  1.001  0.999 1.03E-03 2.44E-04 0.00E+00 2.29E-02  -8.940  -8.940
 -6.40   1.8164   1.995   -51.05  62.23   1.01  1.002  1.000 1.11E-03 2.82E-04 0.00E+00 2.54E-02  -8.939  -8.939
 -6.20   2.0163   1.994   -51.05  61.32   1.01  1.002  1.000 1.20E-03 3.26E-04 0.00E+00 2.80E-02  -8.938  -8.938
 -6.00   2.2162   1.994   -51.05  60.40   1.01  1.002  1.000 1.30E-03 3.77E-04 0.00E+00 3.08E-02  -8.936  -8.936
 -5.80   2.4161   1.993   -51.05  59.49   1.01  1.002  1.000 1.40E-03 4.35E-04 0.00E+00 3.37E-02  -8.934  -8.934
 -5.60   2.6160   1.993   -51.04  58.58   1.01  1.002  1.000 1.51E-03 5.01E-04 0.00E+00 3.65E-02  -8.932  -8.932
 -5.40   2.8159   1.992   -51.04  57.66   1.01  1.002  1.000 1.62E-03 5.77E-04 0.00E+00 3.95E-02  -8.930  -8.930
 -5.20   3.0159   1.992   -51.04  56.75   1.01  1.002  1.000 1.74E-03 6.65E-04 0.00E+00 4.26E-02  -8.928  -8.928
 -5.00   3.2158   1.992   -51.04  55.84   1.01  1.002  1.000 1.88E-03 7.65E-04 0.00E+00 4.57E-02  -8.926  -8.926
 -4.80   3.4157   1.991   -51.04  54.92   1.02  1.002  1.000 2.02E-03 8.80E-04 0.00E+00 4.89E-02  -8.924  -8.924
 -4.60   3.6156   1.991   -51.04  54.01   1.02  1.002  0.999 2.17E-03 1.01E-03 0.00E+00 5.21E-02  -8.921  -8.921
 -4.40   3.8155   1.990   -51.04  53.10   1.02  1.002  0.999 2.34E-03 1.16E-03 0.00E+00 5.56E-02  -8.918  -8.918
