 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
 -7.40  -1.5828   1.998  -4.185 66.357  1.106  1.001  1.000 5.12E-04 7.48E-05 0.00E+00 8.48E-03 -6.817 -6.817
 -7.20  -1.3829   1.998  -4.184 65.438  1.106  1.001  1.000 5.84E-04 8.87E-05 0.00E+00 9.73E-03 -6.817 -6.817
 -7.00  -1.1830   1.997  -4.183 64.519  1.107  1.001  0.999 6.63E-04 1.04E-04 0.00E+00 1.11E-02 -6.817 -6.817
 -6.80  -0.9831   1.997  -4.183 63.600  1.108  1.001  0.999 7.52E-04 1.24E-04 0.00E+00 1.27E-02 -6.816 -6.816
 -6.60  -0.7832   1.996  -4.182 62.682  1.109  1.001  0.999 8.49E-04 1.46E-04 0.00E+00 1.45E-02 -6.816 -6.816
 -6.40  -0.5833   1.996  -4.181 61.764  1.111  1.002  0.999 9.60E-04 1.77E-04 0.00E+00 1.65E-02 -6.815 -6.815
 -6.20  -0.3835   1.995  -4.180 60.845  1.115  1.002  1.000 1.09E-03 2.17E-04 0.00E+00 1.88E-02 -6.815 -6.815
 -6.00  -0.1836   1.994  -4.179 59.927  1.118  1.002  0.999 1.22E-03 2.61E-04 3.23E-19 2.13E-02 -6.814 -6.814
 -5.80   0.0162   1.994  -4.178 59.010  1.125  1.002  0.999 1.38E-03 3.27E-04 1.27E-18 2.40E-02 -6.812 -6.812
 -5.60   0.2160   1.993  -4.177 58.092  1.134  1.003  0.999 1.55E-03 4.01E-04 5.02E-18 2.70E-02 -6.810 -6.810
 -5.40   0.4158   1.992  -4.177 57.175  1.149  1.004  0.999 1.76E-03 5.19E-04 1.97E-17 3.02E-02 -6.806 -6.806
 -5.20   0.6156   1.991  -4.177 56.258  1.169  1.004  0.999 2.00E-03 6.57E-04 7.75E-17 3.37E-02 -6.800 -6.800
 -5.00   0.8154   1.990  -4.177 55.340  1.204  1.006  0.999 2.32E-03 8.83E-04 3.04E-16 3.74E-02 -6.791 -6.791
 -4.80   1.0152   1.989  -4.179 54.423  1.252  1.007  0.999 2.69E-03 1.16E-03 1.19E-15 4.11E-02 -6.777 -6.777
 -4.60   1.2149   1.988  -4.183 53.503  1.332  1.010  0.999 3.25E-03 1.62E-03 4.67E-15 4.51E-02 -6.756 -6.757
 -4.40   1.4146   1.986  -4.189 52.582  1.449  1.014  0.998 3.93E-03 2.22E-03 1.83E-14 4.93E-02 -6.726 -6.727
 -4.20   1.6143   1.985  -4.200 51.656  1.639  1.021  0.998 5.01E-03 3.21E-03 7.13E-14 5.35E-02 -6.683 -6.684
 -4.00   1.8138   1.983  -4.219 50.723  1.933  1.031  0.997 6.60E-03 4.72E-03 2.77E-13 5.78E-02 -6.624 -6.626
 -3.80   2.0132   1.980  -4.247 49.781  2.369  1.045  0.996 8.73E-03 6.76E-03 1.07E-12 6.24E-02 -6.546 -6.549
