 FILTERED output of ioneqmn.
    NRmax =  55,  NTmax =  21
                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
 -4.40   3.0153   1.990    -9.36  51.24   1.02  1.003  0.999 2.36E-03 9.71E-04 0.00E+00 5.48E-02  -7.290  -7.290
 -4.20   3.2152   1.989    -9.36  50.33   1.02  1.003  0.999 2.55E-03 1.12E-03 0.00E+00 5.85E-02  -7.269  -7.269
 -4.00   3.4151   1.989    -9.36  49.42   1.02  1.003  0.999 2.75E-03 1.29E-03 1.05E-19 6.23E-02  -7.242  -7.242
 -3.80   3.6149   1.988    -9.36  48.51   1.03  1.003  0.999 2.97E-03 1.49E-03 4.10E-19 6.61E-02  -7.209  -7.209
 -3.60   3.8147   1.987    -9.36  47.59   1.03  1.004  0.999 3.21E-03 1.73E-03 1.60E-18 7.01E-02  -7.165  -7.165
 -3.40   4.0145   1.986    -9.36  46.68   1.03  1.004  0.999 3.48E-03 2.00E-03 6.28E-18 7.39E-02  -7.109  -7.109
 -3.20   4.2141   1.984    -9.36  45.77   1.04  1.005  0.999 3.77E-03 2.31E-03 2.45E-17 7.80E-02  -7.038  -7.039
 -3.00   4.4139   1.983    -9.36  44.86   1.04  1.006  0.999 4.09E-03 2.68E-03 9.56E-17 8.24E-02  -6.951  -6.953
 -2.80   4.6135   1.981    -9.36  43.95   1.05  1.007  0.998 4.44E-03 3.10E-03 3.72E-16 8.67E-02  -6.848  -6.851
 -2.60   4.8130   1.979    -9.36  43.04   1.05  1.008  0.998 4.85E-03 3.62E-03 1.44E-15 9.13E-02  -6.727  -6.733
 -2.40   5.0126   1.977    -9.36  42.13   1.07  1.009  0.998 5.29E-03 4.20E-03 5.58E-15 9.66E-02  -6.592  -6.602
 -2.20   5.2119   1.974    -9.36  41.21   1.08  1.011  0.998 5.86E-03 4.94E-03 2.16E-14 1.01E-01  -6.441  -6.459
 -2.00   5.4114   1.972    -9.37  40.30   1.11  1.014  0.997 6.54E-03 5.81E-03 8.29E-14 1.06E-01  -6.281  -6.308
 -1.80   5.6102   1.966    -9.38  39.38   1.14  1.018  0.997 7.50E-03 6.95E-03 3.18E-13 1.11E-01  -6.108  -6.147
 -1.60   5.8095   1.963    -9.39  38.47   1.19  1.023  0.996 8.72E-03 8.36E-03 1.21E-12 1.16E-01  -5.933  -5.982
 -1.40   6.0086   1.959    -9.41  37.56   1.26  1.030  0.995 1.05E-02 1.03E-02 4.60E-12 1.21E-01  -5.752  -5.811
 -1.20   6.2066   1.950    -9.43  36.62   1.38  1.040  0.994 1.32E-02 1.31E-02 1.76E-11 1.21E-01  -5.575  -5.638
 -1.00   6.4051   1.943    -9.46  35.69   1.54  1.053  0.991 1.66E-02 1.66E-02 6.52E-11 1.27E-01  -5.408  -5.468
 -0.80   6.6032   1.935    -9.51  34.75   1.78  1.072  0.988 2.15E-02 2.15E-02 2.38E-10 1.32E-01  -5.248  -5.300
 -0.60   6.8004   1.923    -9.58  33.80   2.11  1.097  0.984 2.81E-02 2.81E-02 8.59E-10 1.36E-01  -5.089  -5.131
 -0.40   6.9966   1.906    -9.67  32.83   2.58  1.132  0.978 3.74E-02 3.74E-02 3.02E-09 1.39E-01  -4.923  -4.958
