 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
  1.60   8.8947   1.507    -8.32  21.39   8.50  1.626  0.930 1.88E-01 1.88E-01 4.40E-06 2.42E-01  -2.181  -2.216
  1.80   9.0816   1.462    -8.73  20.31   8.71  1.606  0.940 1.70E-01 1.70E-01 2.53E-06 2.87E-01  -1.908  -1.942
  2.00   9.2712   1.428    -9.09  19.29   8.61  1.555  0.956 1.35E-01 1.35E-01 6.34E-07 3.44E-01  -1.551  -1.586
  2.20   9.4643   1.405    -9.41  18.32   8.30  1.458  0.976 8.65E-02 8.65E-02 4.42E-08 4.05E-01  -1.131  -1.169
  2.40   9.6617   1.397    -9.66  17.44   7.76  1.314  0.996 3.91E-02 3.91E-02 4.14E-10 4.49E-01  -0.516  -0.563
  2.60   9.8616   1.397    -9.83  16.65   6.96  1.139  0.997 9.34E-03 9.34E-03 1.63E-13 4.56E-01   0.166   0.081
  2.80  10.0576   1.384    -9.90  15.95   5.83  0.984  0.951 6.79E-04 6.79E-04 4.23E-19 4.15E-01   0.639   0.529
  3.00  10.2365   1.318    -9.94  15.29   4.34  0.958  0.820 5.41E-06 5.41E-06 0.00E+00 3.38E-01   0.839   0.745
  3.20  10.3793   1.155   -10.06  14.59   2.94  1.210  0.549 9.34E-10 9.34E-10 0.00E+00 2.43E-01   1.228   1.131
  3.40  10.4605   0.879   -10.39  13.76   2.01  1.955  0.182 3.38E-16 3.38E-16 0.00E+00 1.48E-01   1.930   1.820
     5.900    13.800
 -7.40   0.4169   1.997    -4.18  62.92   1.11  1.001  1.000 6.91E-04 1.22E-04 0.00E+00 1.34E-02  -6.619  -6.619
 -7.20   0.6168   1.997    -4.18  62.00   1.11  1.001  0.999 7.64E-04 1.41E-04 0.00E+00 1.51E-02  -6.604  -6.604
 -7.00   0.8167   1.996    -4.18  61.08   1.11  1.001  0.999 8.42E-04 1.64E-04 0.00E+00 1.71E-02  -6.588  -6.588
 -6.80   1.0166   1.996    -4.18  60.17   1.11  1.001  0.999 9.23E-04 1.89E-04 0.00E+00 1.92E-02  -6.572  -6.572
 -6.60   1.2165   1.995    -4.18  59.25   1.11  1.001  0.999 1.01E-03 2.19E-04 0.00E+00 2.15E-02  -6.555  -6.555
 -6.40   1.4164   1.995    -4.18  58.34   1.11  1.002  0.999 1.10E-03 2.54E-04 0.00E+00 2.39E-02  -6.538  -6.538
 -6.20   1.6163   1.994    -4.18  57.42   1.11  1.002  0.999 1.19E-03 2.93E-04 0.00E+00 2.66E-02  -6.520  -6.520
 -6.00   1.8162   1.994    -4.17  56.51   1.11  1.002  0.999 1.29E-03 3.39E-04 0.00E+00 2.94E-02  -6.503  -6.503
 -5.80   2.0161   1.993    -4.17  55.59   1.11  1.002  0.999 1.39E-03 3.91E-04 0.00E+00 3.23E-02  -6.485  -6.485
 -5.60   2.2160   1.993    -4.17  54.68   1.11  1.002  1.000 1.50E-03 4.51E-04 0.00E+00 3.53E-02  -6.466  -6.466
 -5.40   2.4159   1.992    -4.17  53.76   1.11  1.002  1.000 1.62E-03 5.20E-04 0.00E+00 3.84E-02  -6.446  -6.446
 -5.20   2.6158   1.992    -4.17  52.85   1.11  1.002  1.000 1.74E-03 6.00E-04 0.00E+00 4.16E-02  -6.425  -6.425
 -5.00   2.8157   1.991    -4.17  51.94   1.11  1.002  1.000 1.87E-03 6.92E-04 0.00E+00 4.49E-02  -6.401  -6.401
 -4.80   3.0156   1.991    -4.17  51.02   1.11  1.002  1.000 2.02E-03 7.96E-04 0.00E+00 4.82E-02  -6.373  -6.374
 -4.60   3.2155   1.991    -4.16  50.11   1.12  1.002  1.000 2.17E-03 9.17E-04 0.00E+00 5.17E-02  -6.340  -6.340
 -4.40   3.4154   1.990    -4.16  49.20   1.12  1.003  0.999 2.34E-03 1.05E-03 0.00E+00 5.52E-02  -6.298  -6.299
 -4.20   3.6153   1.990    -4.16  48.28   1.12  1.003  0.999 2.51E-03 1.21E-03 0.00E+00 5.87E-02  -6.246  -6.248
 -4.00   3.8152   1.989    -4.16  47.37   1.12  1.003  0.999 2.70E-03 1.39E-03 0.00E+00 6.24E-02  -6.180  -6.183
 -3.80   4.0150   1.988    -4.16  46.46   1.12  1.003  0.999 2.90E-03 1.60E-03 0.00E+00 6.61E-02  -6.099  -6.104
 -3.60   4.2148   1.987    -4.16  45.55   1.12  1.004  0.999 3.10E-03 1.83E-03 0.00E+00 7.00E-02  -6.000  -6.010
 -3.40   4.4145   1.986    -4.16  44.64   1.12  1.004  0.999 3.31E-03 2.08E-03 1.56E-19 7.38E-02  -5.884  -5.902
 -3.20   4.6142   1.984    -4.16  43.72   1.13  1.005  0.999 3.53E-03 2.37E-03 6.11E-19 7.78E-02  -5.753  -5.782
 -3.00   4.8138   1.983    -4.16  42.81   1.13  1.005  0.999 3.77E-03 2.69E-03 2.38E-18 8.19E-02  -5.614  -5.651
 -2.80   5.0135   1.981    -4.16  41.90   1.13  1.006  0.999 4.04E-03 3.05E-03 9.27E-18 8.65E-02  -5.481  -5.524
 -2.60   5.2130   1.979    -4.16  40.99   1.13  1.007  0.999 4.34E-03 3.48E-03 3.61E-17 9.02E-02  -5.335  -5.387
 -2.40   5.4128   1.978    -4.16  40.08   1.14  1.008  0.999 4.69E-03 3.97E-03 1.40E-16 9.55E-02  -5.183  -5.244
 -2.20   5.6120   1.975    -4.16  39.16   1.14  1.009  0.999 5.10E-03 4.55E-03 5.41E-16 9.90E-02  -5.029  -5.100
 -2.00   5.8118   1.974    -4.17  38.26   1.15  1.011  0.999 5.58E-03 5.19E-03 2.09E-15 1.04E-01  -4.878  -4.954
 -1.80   6.0114   1.972    -4.17  37.35   1.16  1.013  0.998 6.18E-03 5.94E-03 8.04E-15 1.09E-01  -4.732  -4.809
 -1.60   6.2101   1.966    -4.18  36.42   1.17  1.016  0.997 7.03E-03 6.92E-03 3.13E-14 1.08E-01  -4.591  -4.663
 -1.40   6.4092   1.962    -4.19  35.51   1.18  1.020  0.995 8.01E-03 7.96E-03 1.19E-13 1.13E-01  -4.453  -4.517
 -1.20   6.6081   1.957    -4.21  34.59   1.20  1.025  0.994 9.25E-03 9.24E-03 4.48E-13 1.19E-01  -4.310  -4.366
 -1.00   6.8067   1.951    -4.22  33.68   1.23  1.031  0.992 1.08E-02 1.08E-02 1.67E-12 1.24E-01  -4.154  -4.205
 -0.80   7.0052   1.944    -4.25  32.76   1.27  1.038  0.991 1.27E-02 1.27E-02 6.14E-12 1.29E-01  -3.987  -4.034
 -0.60   7.2006   1.923    -4.28  31.81   1.33  1.051  0.988 1.54E-02 1.54E-02 2.29E-11 1.27E-01  -3.809  -3.854
 -0.40   7.3979   1.911    -4.32  30.89   1.40  1.064  0.985 1.84E-02 1.84E-02 8.04E-11 1.35E-01  -3.628  -3.671
 -0.20   7.5947   1.897    -4.38  29.97   1.51  1.080  0.982 2.22E-02 2.22E-02 2.75E-10 1.42E-01  -3.444  -3.486
  0.00   7.7908   1.880    -4.44  29.03   1.65  1.101  0.979 2.70E-02 2.70E-02 9.06E-10 1.50E-01  -3.260  -3.301
  0.20   7.9862   1.860    -4.53  28.09   1.83  1.126  0.974 3.28E-02 3.28E-02 2.84E-09 1.57E-01  -3.077  -3.117
  0.40   8.1806   1.837    -4.64  27.13   2.05  1.157  0.969 3.95E-02 3.95E-02 8.34E-09 1.63E-01  -2.897  -2.936
  0.60   8.3739   1.809    -4.77  26.16   2.32  1.193  0.964 4.70E-02 4.70E-02 2.22E-08 1.70E-01  -2.712  -2.751
  0.80   8.5661   1.777    -4.93  25.17   2.63  1.233  0.958 5.42E-02 5.42E-02 5.17E-08 1.78E-01  -2.520  -2.559
  1.00   8.7572   1.741    -5.12  24.17   2.91  1.242  0.951 5.97E-02 5.97E-02 9.81E-08 1.88E-01  -2.318  -2.357
  1.20   8.9470   1.700    -5.35  23.16   3.31  1.319  0.946 6.14E-02 6.14E-02 1.40E-07 2.02E-01  -2.098  -2.137
  1.40   9.1358   1.657    -5.59  22.14   3.59  1.352  0.943 5.72E-02 5.72E-02 1.28E-07 2.21E-01  -1.852  -1.891
  1.60   9.3244   1.614    -5.86  21.12   3.84  1.381  0.941 4.59E-02 4.59E-02 5.95E-08 2.45E-01  -1.572  -1.612
  1.80   9.5130   1.572    -6.12  20.11   3.97  1.394  0.942 2.96E-02 2.96E-02 9.81E-09 2.71E-01  -1.211  -1.258
  2.00   9.7019   1.532    -6.40  19.13   3.90  1.371  0.947 1.34E-02 1.34E-02 3.24E-10 2.90E-01  -0.824  -0.889
  2.20   9.8916   1.496    -6.65  18.19   3.72  1.337  0.948 3.50E-03 3.50E-03 8.42E-13 2.93E-01  -0.417  -0.517
  2.40  10.0804   1.458    -6.89  17.28   3.35  1.295  0.936 3.55E-04 3.55E-04 4.05E-17 2.77E-01  -0.072  -0.198
  2.60  10.2647   1.407    -7.10  16.40   2.85  1.284  0.898 7.27E-06 7.27E-06 0.00E+00 2.42E-01   0.136   0.022
  2.80  10.4370   1.320    -7.35  15.53   2.30  1.360  0.814 9.65E-09 9.65E-09 0.00E+00 1.94E-01   0.365   0.264
  3.00  10.5868   1.176    -7.67  14.63   1.88  1.597  0.670 1.40E-13 1.40E-13 0.00E+00 1.37E-01   0.776   0.675
  3.20  10.7008   0.964    -8.12  13.66   1.65  2.098  0.444 0.00E+00 0.00E+00 0.00E+00 8.22E-02   1.436   1.329
  3.40  10.7563   0.691    -8.75  12.62   1.62  3.133  0.060 0.00E+00 0.00E+00 0.00E+00 3.86E-02   2.395   2.279
     6.000    13.800
 -7.40   0.8169   1.997    -3.08  61.81   1.22  1.001  1.000 7.12E-04 1.35E-04 0.00E+00 1.44E-02  -6.338  -6.338
 -7.20   1.0168   1.996    -3.08  60.89   1.22  1.001  0.999 7.82E-04 1.56E-04 0.00E+00 1.62E-02  -6.321  -6.321
 -7.00   1.2167   1.996    -3.08  59.97   1.22  1.001  0.999 8.57E-04 1.81E-04 0.00E+00 1.82E-02  -6.303  -6.303
 -6.80   1.4166   1.996    -3.08  59.06   1.22  1.001  0.999 9.34E-04 2.09E-04 0.00E+00 2.03E-02  -6.285  -6.285
 -6.60   1.6165   1.995    -3.08  58.14   1.22  1.002  0.999 1.02E-03 2.42E-04 0.00E+00 2.27E-02  -6.267  -6.267
