 Output of ioneqmn.

                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
 -0.40   6.9991   1.917    -2.36  30.74   1.80  1.075  0.983 2.34E-02 2.33E-02 3.97E-10 1.39E-01  -2.597  -2.651
 -0.20   7.1925   1.888    -2.43  29.77   1.99  1.100  0.979 3.01E-02 3.00E-02 1.40E-09 1.37E-01  -2.396  -2.450
  0.00   7.3879   1.868    -2.51  28.83   2.22  1.128  0.974 3.80E-02 3.78E-02 4.59E-09 1.45E-01  -2.197  -2.249
  0.20   7.5822   1.844    -2.62  27.87   2.52  1.162  0.969 4.80E-02 4.76E-02 1.44E-08 1.52E-01  -1.994  -2.046
  0.40   7.7754   1.815    -2.76  26.89   2.90  1.204  0.963 6.01E-02 5.96E-02 4.25E-08 1.59E-01  -1.788  -1.838
  0.60   7.9673   1.781    -2.93  25.89   3.34  1.251  0.956 7.39E-02 7.33E-02 1.15E-07 1.66E-01  -1.577  -1.626
  0.80   8.1580   1.743    -3.13  24.88   3.83  1.304  0.949 8.87E-02 8.79E-02 2.78E-07 1.74E-01  -1.366  -1.414
  1.00   8.3471   1.701    -3.37  23.84   4.32  1.357  0.942 1.02E-01 1.02E-01 5.76E-07 1.85E-01  -1.144  -1.193
  1.20   8.5350   1.654    -3.64  22.80   4.79  1.404  0.938 1.12E-01 1.11E-01 9.53E-07 1.99E-01  -0.916  -0.968
  1.40   8.7225   1.607    -3.94  21.75   5.18  1.410  0.934 1.15E-01 1.14E-01 1.13E-06 2.22E-01  -0.678  -0.738
  1.60   8.9098   1.560    -4.24  20.71   4.82  1.392  0.934 1.07E-01 1.06E-01 8.15E-07 2.53E-01  -0.428  -0.505
  1.80   9.0970   1.515    -4.56  19.69   5.59  1.466  0.941 8.61E-02 8.56E-02 2.82E-07 2.92E-01  -0.195  -0.305
  2.00   9.2862   1.478    -4.87  18.70   5.54  1.438  0.951 5.64E-02 5.62E-02 3.06E-08 3.34E-01  -0.067  -0.214
  2.20   9.4775   1.449    -5.14  17.76   5.32  1.378  0.962 2.64E-02 2.64E-02 5.46E-10 3.67E-01  -0.101  -0.249
  2.40   9.6705   1.426    -5.37  16.88   4.89  1.294  0.966 7.07E-03 7.06E-03 5.74E-13 3.74E-01  -0.088  -0.221
  2.60   9.8622   1.398    -5.57  16.04   4.21  1.211  0.945 7.01E-04 7.01E-04 6.89E-18 3.49E-01   0.073  -0.049
  2.80  10.0457   1.346    -5.73  15.25   3.44  1.197  0.878 1.21E-05 1.21E-05 0.00E+00 2.97E-01   0.358   0.242
  3.00  10.2092   1.238    -5.95  14.43   2.66  1.337  0.741 1.01E-08 1.01E-08 0.00E+00 2.28E-01   0.781   0.663
  3.20  10.3373   1.049    -6.29  13.55   2.11  1.743  0.517 5.77E-14 5.77E-14 0.00E+00 1.53E-01   1.388   1.264
  3.40  10.4082   0.779    -6.82  12.57   1.90  2.634  0.146 0.00E+00 0.00E+00 0.00E+00 8.49E-02   2.234   2.098
     5.900    13.500
 -7.40   0.4170   1.997    -1.44  61.74   1.54  1.001  1.000 6.56E-04 1.16E-04 0.00E+00 1.27E-02  -5.806  -5.806
 -7.20   0.6169   1.997    -1.43  60.82   1.54  1.001  1.000 7.26E-04 1.34E-04 0.00E+00 1.44E-02  -5.789  -5.789
 -7.00   0.8168   1.996    -1.43  59.90   1.54  1.002  0.999 7.99E-04 1.55E-04 0.00E+00 1.63E-02  -5.771  -5.771
 -6.80   1.0167   1.996    -1.43  58.99   1.53  1.002  0.999 8.77E-04 1.80E-04 0.00E+00 1.83E-02  -5.752  -5.752
 -6.60   1.2166   1.995    -1.43  58.07   1.53  1.002  0.999 9.58E-04 2.08E-04 0.00E+00 2.05E-02  -5.734  -5.734
 -6.40   1.4165   1.995    -1.43  57.15   1.53  1.002  0.999 1.04E-03 2.41E-04 0.00E+00 2.29E-02  -5.715  -5.715
 -6.20   1.6164   1.994    -1.43  56.24   1.53  1.002  0.999 1.13E-03 2.79E-04 0.00E+00 2.54E-02  -5.696  -5.696
 -6.00   1.8162   1.994    -1.43  55.32   1.53  1.002  0.999 1.23E-03 3.22E-04 0.00E+00 2.81E-02  -5.676  -5.676
 -5.80   2.0161   1.993    -1.43  54.41   1.53  1.002  0.999 1.32E-03 3.72E-04 0.00E+00 3.09E-02  -5.654  -5.654
