 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
 -2.60   3.0126   1.977   0.339 42.501  2.889  1.039  0.996 9.20E-03 7.14E-03 1.83E-12 7.32E-02 -1.992 -2.023
 -2.40   3.2116   1.973   0.301 41.553  3.273  1.057  0.994 1.26E-02 1.04E-02 7.01E-12 7.72E-02 -1.794 -1.827
 -2.20   3.4101   1.966   0.244 40.590  3.850  1.084  0.991 1.76E-02 1.53E-02 2.67E-11 8.07E-02 -1.596 -1.629
 -2.00   3.6079   1.956   0.158 39.601  4.712  1.123  0.988 2.52E-02 2.26E-02 1.01E-10 8.43E-02 -1.398 -1.432
 -1.80   3.8049   1.943   0.032 38.576  5.964  1.180  0.983 3.63E-02 3.34E-02 3.71E-10 8.75E-02 -1.200 -1.236
 -1.60   4.0006   1.924  -0.153 37.500  7.722  1.261  0.976 5.26E-02 4.91E-02 1.34E-09 8.99E-02 -1.006 -1.043
 -1.40   4.1949   1.898  -0.415 36.358 10.064  1.369  0.966 7.55E-02 7.15E-02 4.66E-09 9.16E-02 -0.820 -0.859
 -1.20   4.3869   1.864  -0.775 35.131 13.003  1.507  0.955 1.07E-01 1.02E-01 1.55E-08 9.16E-02 -0.646 -0.687
 -1.00   4.5763   1.819  -1.254 33.804 16.397  1.672  0.941 1.49E-01 1.43E-01 4.91E-08 8.92E-02 -0.488 -0.531
 -0.80   4.7633   1.765  -1.854 32.376 20.313  1.825  0.927 2.01E-01 1.94E-01 1.45E-07 8.63E-02 -0.335 -0.380
 -0.60   4.9469   1.700  -2.568 30.865 22.996  2.026  0.914 2.64E-01 2.55E-01 3.99E-07 7.93E-02 -0.182 -0.229
 -0.40   5.1287   1.630  -3.359 29.310 25.298  2.173  0.904 3.34E-01 3.22E-01 1.02E-06 7.24E-02 -0.015 -0.061
 -0.20   5.3087   1.557  -4.194 27.747 26.633  2.273  0.897 4.08E-01 3.94E-01 2.43E-06 6.37E-02  0.163  0.117
  0.00   5.4868   1.480  -5.077 26.161 26.541  2.325  0.895 4.84E-01 4.68E-01 5.40E-06 5.18E-02  0.343  0.297
  0.20   5.6659   1.410  -5.882 24.694 25.699  2.318  0.896 5.56E-01 5.37E-01 1.13E-05 4.38E-02  0.521  0.476
  0.40   5.8457   1.346  -6.630 23.314 24.167  2.265  0.902 6.21E-01 6.01E-01 2.24E-05 3.64E-02  0.697  0.654
  0.60   6.0269   1.289  -7.304 22.037 22.213  2.176  0.910 6.80E-01 6.58E-01 4.25E-05 2.98E-02  0.868  0.827
  0.80   6.2097   1.239  -7.895 20.866 20.078  2.063  0.919 7.32E-01 7.08E-01 7.78E-05 2.46E-02  1.035  0.996
  1.00   6.3936   1.194  -8.422 19.779 17.814  1.922  0.931 7.77E-01 7.52E-01 1.39E-04 1.87E-02  1.198  1.162
  1.20   6.5809   1.160  -8.842 18.817 15.878  1.802  0.942 8.12E-01 7.86E-01 2.40E-04 1.74E-02  1.354  1.320
